ENSMUSG00000040722|Scamp5
ENSMUSG00000025137|Pcyt2
ENSMUSG00000025880|Smad7
ENSMUSG00000049690|Nckap5
ENSMUSG00000044252|Osbpl1a
ENSMUSG00000026944|Abca2
ENSMUSG00000030519|Apba2
ENSMUSG00000033808|Tmem87a
ENSMUSG00000033904|Ccp110
ENSMUSG00000051586|Mical3
