ENSMUSG00000024170|Telo2
ENSMUSG00000057788|Ddx49
ENSMUSG00000064037|Gpn1
ENSMUSG00000032498|Mlh1
ENSMUSG00000029090|Adgra3
ENSMUSG00000029036|Atad3a
ENSMUSG00000025337|Sbds
ENSMUSG00000005204|Senp3
ENSMUSG00000050244|Heatr1
ENSMUSG00000020648|Dus4l
