ENSMUSG00000005506|Celf1
ENSMUSG00000026933|Camsap1
ENSMUSG00000023079|Gtf2ird1
ENSMUSG00000060012|Kif13b
ENSMUSG00000022748|Cmss1
ENSMUSG00000059981|Taok2
ENSMUSG00000040524|Zfp609
ENSMUSG00000029578|Wipi2
ENSMUSG00000038733|Wdr26
ENSMUSG00000029407|Uso1
