ENSMUSG00000007833|Aldh16a1
ENSMUSG00000027639|Samhd1
ENSMUSG00000062382|Ftl1-ps1
ENSMUSG00000028923|Necap2
ENSMUSG00000003200|Sh3gl1
ENSMUSG00000029560|Snx8
ENSMUSG00000031447|Lamp1
ENSMUSG00000009090|Ap1b1
ENSMUSG00000039450|Dcxr
ENSMUSG00000035992|Fnip1
