ENSMUSG00000022673|Mcm4
ENSMUSG00000001785|Pwp1
ENSMUSG00000021218|Gdi2
ENSMUSG00000025786|Zdhhc3
ENSMUSG00000021519|Mterf3
ENSMUSG00000027680|Fxr1
ENSMUSG00000020329|Polrmt
ENSMUSG00000101892|9130401M01Rik
ENSMUSG00000000568|Hnrnpd
ENSMUSG00000051256|Jagn1
