ENSMUSG00000055745|Rtl6
ENSMUSG00000041375|Ccdc9
ENSMUSG00000000148|Brat1
ENSMUSG00000105006|Gm9484
ENSMUSG00000007837|Prrg2
ENSMUSG00000025156|Gps1
ENSMUSG00000025226|Fbxl15
ENSMUSG00000029166|Mapre3
ENSMUSG00000009030|Pdcl
ENSMUSG00000057594|Arl16
