ENSMUSG00000040532|Abhd11
ENSMUSG00000034254|Agpat1
ENSMUSG00000013646|Sh3bp5l
ENSMUSG00000037499|Nenf
ENSMUSG00000045854|Lyrm2
ENSMUSG00000053390|Zfp952
ENSMUSG00000028822|Tmem50a
ENSMUSG00000020802|Ube2o
ENSMUSG00000032657|Fam189b
ENSMUSG00000025132|Arhgdia
