ENSMUSG00000078695|Cisd3
ENSMUSG00000030584|Dpf1
ENSMUSG00000050138|Kcnk12
ENSMUSG00000008658|Rbfox1
ENSMUSG00000027655|Dhx35
ENSMUSG00000020660|Pomc
ENSMUSG00000051527|Usp29
ENSMUSG00000032425|Zfp949
ENSMUSG00000024642|Tle4
ENSMUSG00000023266|Frs3
