ENSMUSG00000002981|Clptm1
ENSMUSG00000038604|Ripor1
ENSMUSG00000050565|Tor1aip2
ENSMUSG00000039988|Ankrd13c
ENSMUSG00000056537|Rlim
ENSMUSG00000074884|Serf2
ENSMUSG00000044147|Arf6
ENSMUSG00000017776|Crk
ENSMUSG00000031431|Tsc22d3
ENSMUSG00000002308|Cd320
