ENSMUSG00000034883|Lrr1
ENSMUSG00000026887|Mrrf
ENSMUSG00000026037|Orc2
ENSMUSG00000025155|Dus1l
ENSMUSG00000026260|Ndufa10
ENSMUSG00000027076|Timm10
ENSMUSG00000025047|Pdcd11
ENSMUSG00000027282|Mtch2
ENSMUSG00000026784|Pdss1
ENSMUSG00000036781|Rps27l
