ENSMUSG00000033105|Lss
ENSMUSG00000004031|Brinp2
ENSMUSG00000026587|Astn1
ENSMUSG00000112639|A730063M14Rik
ENSMUSG00000058454|Dhcr7
ENSMUSG00000055407|Map6
ENSMUSG00000066441|Rdh11
ENSMUSG00000028546|Elavl4
ENSMUSG00000023473|Celsr3
ENSMUSG00000030551|Nr2f2
