ENSMUSG00000049086|Bmyc
ENSMUSG00000031631|Cfap97
ENSMUSG00000059714|Flot1
ENSMUSG00000019689|Fmc1
ENSMUSG00000037818|Abhd18
ENSMUSG00000034731|Dgkh
ENSMUSG00000031887|Tradd
ENSMUSG00000033629|Hacd3
ENSMUSG00000069678|Pcgf1
ENSMUSG00000028969|Cdk5
