ENSMUSG00000023018|Smarcd1
ENSMUSG00000028018|Gstcd
ENSMUSG00000011877|Git1
ENSMUSG00000029310|Nudt9
ENSMUSG00000070605|Zfp992
ENSMUSG00000001829|Clpb
ENSMUSG00000029415|Sdad1
ENSMUSG00000001844|Zdhhc4
ENSMUSG00000026799|Med27
ENSMUSG00000060427|Zfp868
