ENSMUSG00000041028|Ghitm
ENSMUSG00000026035|Ppil3
ENSMUSG00000020903|Stx8
ENSMUSG00000002014|Ssr4
ENSMUSG00000005823|Gpr108
ENSMUSG00000049659|Aftph
ENSMUSG00000023277|Twf2
ENSMUSG00000040188|Scamp2
ENSMUSG00000062054|Iah1
ENSMUSG00000055401|Fbxo6
