ENSMUSG00000062753|AI413582
ENSMUSG00000022452|Smdt1
ENSMUSG00000025533|Asl
ENSMUSG00000038552|Fndc4
ENSMUSG00000042682|Selenok
ENSMUSG00000045435|Tmem60
ENSMUSG00000000439|Mkrn2
ENSMUSG00000039515|Ptpa
ENSMUSG00000050627|Gpd1l
ENSMUSG00000048644|Ctxn1
