ENSMUSG00000024030|Abcg1
ENSMUSG00000040659|Efhd2
ENSMUSG00000021306|Gpr137b
ENSMUSG00000021665|Hexb
ENSMUSG00000042524|Sun2
ENSMUSG00000101972|Hist1h3i
ENSMUSG00000036246|Gmip
ENSMUSG00000004207|Psap
ENSMUSG00000035202|Lars2
ENSMUSG00000069265|Hist1h3a
