ENSMUSG00000035047|Kri1
ENSMUSG00000031590|Frg1
ENSMUSG00000045237|1110012L19Rik
ENSMUSG00000068921|Dap3
ENSMUSG00000036442|Thap11
ENSMUSG00000030060|Hmces
ENSMUSG00000038116|Phf20
ENSMUSG00000036097|Slf2
ENSMUSG00000032077|Bud13
ENSMUSG00000026659|Dusp12
