ENSMUSG00000022442|Ttll1
ENSMUSG00000047181|Samd14
ENSMUSG00000051351|Zfp46
ENSMUSG00000030600|Lrfn1
ENSMUSG00000021606|Ndufs6
ENSMUSG00000066057|Gm1976
ENSMUSG00000021124|Vti1b
ENSMUSG00000027952|Pmvk
ENSMUSG00000026113|Inpp4a
ENSMUSG00000047714|Ppp1r2
