ENSMUSG00000018965|Ywhah
ENSMUSG00000002580|Mien1
ENSMUSG00000044308|Ubr3
ENSMUSG00000075467|Dnlz
ENSMUSG00000047547|Cltb
ENSMUSG00000019210|Atp6v1e1
ENSMUSG00000027384|Ndufaf5
ENSMUSG00000046861|Hectd3
ENSMUSG00000028959|Fastk
ENSMUSG00000028945|Rheb
