ENSMUSG00000009535|Rnmt
ENSMUSG00000024188|Luc7l
ENSMUSG00000021040|Slirp
ENSMUSG00000002658|Gtf2f1
ENSMUSG00000024095|Hnrnpll
ENSMUSG00000021037|Ahsa1
ENSMUSG00000005899|Smpd4
ENSMUSG00000032399|Rpl4
ENSMUSG00000078348|Sf3b5
ENSMUSG00000002984|Tomm40
