ENSMUSG00000038467|Chmp4b
ENSMUSG00000021023|1110008L16Rik
ENSMUSG00000003344|Btbd2
ENSMUSG00000022280|Rnf19a
ENSMUSG00000027465|Tbc1d20
ENSMUSG00000019802|Sec63
ENSMUSG00000050229|Pigm
ENSMUSG00000022992|Kansl2
ENSMUSG00000028771|Ptpn12
ENSMUSG00000023009|Nckap5l
