ENSMUSG00000087141|Plcxd2
ENSMUSG00000056735|A930024E05Rik
ENSMUSG00000100303|2600014E21Rik
ENSMUSG00000063626|Unc5d
ENSMUSG00000056258|Kcnq3
ENSMUSG00000026640|Plxna2
ENSMUSG00000116417|CT025619.1
ENSMUSG00000016552|Foxred2
ENSMUSG00000000416|Cttnbp2
ENSMUSG00000086171|Pcsk2os1
