ENSMUSG00000001441|Npepps
ENSMUSG00000025764|Jade1
ENSMUSG00000033444|Specc1l
ENSMUSG00000026816|Gtf3c5
ENSMUSG00000017639|Rab11fip4
ENSMUSG00000041264|Uspl1
ENSMUSG00000019726|Lyst
ENSMUSG00000002319|Ipo4
ENSMUSG00000020716|Nf1
ENSMUSG00000024122|Pdpk1
