ENSMUSG00000027227|Sord
ENSMUSG00000052397|Ezr
ENSMUSG00000061758|Akr1b10
ENSMUSG00000028128|F3
ENSMUSG00000029596|Sdsl
ENSMUSG00000072066|6720489N17Rik
ENSMUSG00000071350|Setdb2
ENSMUSG00000019952|Poc1b
ENSMUSG00000028933|Xrcc2
ENSMUSG00000024869|Nudt8
