ENSMUSG00000026193|Fn1
ENSMUSG00000047003|Zfp41
ENSMUSG00000071180|Smim15
ENSMUSG00000031558|Slit2
ENSMUSG00000064090|Vrk2
ENSMUSG00000032394|Igdcc3
ENSMUSG00000036422|Pcdh8
ENSMUSG00000028664|Ephb2
ENSMUSG00000054256|Msi1
ENSMUSG00000028282|Casp8ap2
