ENSMUSG00000024077|Strn
ENSMUSG00000057706|Mex3b
ENSMUSG00000023908|Pkmyt1
ENSMUSG00000006678|Pola1
ENSMUSG00000085950|Gm13589
ENSMUSG00000035704|Alg8
ENSMUSG00000048232|Fbxo10
ENSMUSG00000021485|Mxd3
ENSMUSG00000029003|Mad2l2
ENSMUSG00000035842|Ddx11
