ENSMUSG00000034075|Zdhhc5
ENSMUSG00000021704|Mtx3
ENSMUSG00000028982|Slc25a33
ENSMUSG00000051403|Ppp1r37
ENSMUSG00000054611|Kdm2a
ENSMUSG00000004934|Pias4
ENSMUSG00000020629|Adi1
ENSMUSG00000020628|Trappc12
ENSMUSG00000021481|Zfp346
ENSMUSG00000018559|Ctdnep1
