ENSMUSG00000028549|Itgb3bp
ENSMUSG00000087260|Lamtor5
ENSMUSG00000044533|Rps2
ENSMUSG00000038900|Rpl12
ENSMUSG00000066232|Ipo7
ENSMUSG00000020392|Cdkn2aipnl
ENSMUSG00000071415|Rpl23
ENSMUSG00000007850|Hnrnph1
ENSMUSG00000071172|Srsf3
ENSMUSG00000032478|Nme6
