ENSMUSG00000029104|Htt
ENSMUSG00000028405|Aco1
ENSMUSG00000032527|Pccb
ENSMUSG00000021686|Ap3b1
ENSMUSG00000084786|Ubl5
ENSMUSG00000054008|Ndst1
ENSMUSG00000030545|Pex11a
ENSMUSG00000103983|Gm20045
ENSMUSG00000060601|Nr1h2
ENSMUSG00000022946|Dopey2
