ENSMUSG00000029397|Rchy1
ENSMUSG00000038827|Fam206a
ENSMUSG00000041236|Vps41
ENSMUSG00000038812|Trmt112
ENSMUSG00000049739|Zfp646
ENSMUSG00000040586|Ofd1
ENSMUSG00000022552|Sharpin
ENSMUSG00000031023|Akip1
ENSMUSG00000007777|0610009B22Rik
ENSMUSG00000048310|Pskh1
