ENSMUSG00000057147|Dph6
ENSMUSG00000091007|D630036H23Rik
ENSMUSG00000033419|Snap91
ENSMUSG00000046834|Krt1
ENSMUSG00000043065|Spice1
ENSMUSG00000024132|Eci1
ENSMUSG00000005501|Usp40
ENSMUSG00000029790|Cep41
ENSMUSG00000037606|Osbpl5
ENSMUSG00000043153|Ispd
