ENSMUSG00000027677|Ttc14
ENSMUSG00000024914|Drap1
ENSMUSG00000062931|Zfp938
ENSMUSG00000062929|Cfl2
ENSMUSG00000021816|Ppp3cb
ENSMUSG00000032330|Cox7a2
ENSMUSG00000055629|B4galnt4
ENSMUSG00000006057|Atp5g1
ENSMUSG00000019763|Rmnd1
ENSMUSG00000030058|Copg1
