ENSMUSG00000086587|Gm11837
ENSMUSG00000048772|Tmem53
ENSMUSG00000018509|Cenpv
ENSMUSG00000000085|Scmh1
ENSMUSG00000057265|Bbof1
ENSMUSG00000025757|Hspa4l
ENSMUSG00000037965|Zc3h7a
ENSMUSG00000025666|Tmem47
ENSMUSG00000028256|Odf2l
ENSMUSG00000021234|Fam161b
