ENSMUSG00000087331|1810021B22Rik
ENSMUSG00000022064|Pibf1
ENSMUSG00000006717|Acot13
ENSMUSG00000027942|4933434E20Rik
ENSMUSG00000047193|Dync2h1
ENSMUSG00000020801|Med31
ENSMUSG00000039108|Lsm14b
ENSMUSG00000028743|Akr7a5
ENSMUSG00000015542|Nat9
ENSMUSG00000026510|Trp53bp2
