ENSMUSG00000070287|Slc35g2
ENSMUSG00000019880|Rspo3
ENSMUSG00000029366|Dck
ENSMUSG00000043969|Emx2
ENSMUSG00000052658|5830454E08Rik
ENSMUSG00000026475|Rgs16
ENSMUSG00000026047|Kdelc1
ENSMUSG00000058729|Lin9
ENSMUSG00000027884|Clcc1
ENSMUSG00000050029|Rap2c
