ENSMUSG00000022292|Rrm2b
ENSMUSG00000015804|Med28
ENSMUSG00000038965|Ube2l3
ENSMUSG00000032624|Eml4
ENSMUSG00000031077|Fadd
ENSMUSG00000071655|Ubxn1
ENSMUSG00000053841|Txlna
ENSMUSG00000029422|Rsrc2
ENSMUSG00000031807|Pgls
ENSMUSG00000014355|Anapc1
