ENSMUSG00000054400|Cklf
ENSMUSG00000022972|1110004E09Rik
ENSMUSG00000008822|Acyp1
ENSMUSG00000019710|Mrpl24
ENSMUSG00000025078|Nhlrc2
ENSMUSG00000031592|Pcm1
ENSMUSG00000003778|Brd8
ENSMUSG00000031347|Cetn2
ENSMUSG00000051736|Fam229b
ENSMUSG00000070283|Ndufaf3
