ENSMUSG00000041141|Pnmal1
ENSMUSG00000074093|Svip
ENSMUSG00000053580|Tanc2
ENSMUSG00000070802|Pnmal2
ENSMUSG00000026335|Pam
ENSMUSG00000031302|Nlgn3
ENSMUSG00000007944|Ttc9b
ENSMUSG00000048978|Nrsn1
ENSMUSG00000028701|Lurap1
ENSMUSG00000047242|Taf9b
