ENSMUSG00000092417|Gpank1
ENSMUSG00000051518|Rps19bp1
ENSMUSG00000006005|Tpr
ENSMUSG00000026775|Yme1l1
ENSMUSG00000089911|Mfsd14a
ENSMUSG00000062203|Gspt1
ENSMUSG00000028614|Ndc1
ENSMUSG00000039148|Sart1
ENSMUSG00000026603|Smyd2
ENSMUSG00000029346|Srrd
