ENSMUSG00000053046|Brsk2
ENSMUSG00000032959|Pebp1
ENSMUSG00000035228|Ccdc106
ENSMUSG00000032905|Atg12
ENSMUSG00000011589|Fsd1
ENSMUSG00000034647|Ankrd12
ENSMUSG00000011306|Sugp1
ENSMUSG00000034902|Pip5k1c
ENSMUSG00000010406|Mrpl52
ENSMUSG00000035051|Dhx57
