ENSMUSG00000014748|Tex261
ENSMUSG00000019158|Tmem160
ENSMUSG00000025130|P4hb
ENSMUSG00000032834|Pwp2
ENSMUSG00000028343|Erp44
ENSMUSG00000051934|Spats2
ENSMUSG00000037470|Uggt1
ENSMUSG00000028567|Txndc12
ENSMUSG00000046841|Ckap4
ENSMUSG00000034088|Hdlbp
