ENSMUSG00000053799|Exoc6
ENSMUSG00000045969|Ing1
ENSMUSG00000025437|Usp33
ENSMUSG00000029545|Acads
ENSMUSG00000084883|Ccdc85c
ENSMUSG00000034617|Mtrr
ENSMUSG00000034659|Tmem109
ENSMUSG00000024908|Ppp6r3
ENSMUSG00000019080|Mfsd3
ENSMUSG00000034761|Map4k5
