ENSMUSG00000033943|Mga
ENSMUSG00000042851|Zc3h6
ENSMUSG00000002455|Prpf6
ENSMUSG00000018347|Zkscan6
ENSMUSG00000026004|Kansl1l
ENSMUSG00000001138|Cnnm3
ENSMUSG00000027651|Rprd1b
ENSMUSG00000047098|Rnf31
ENSMUSG00000000301|Pemt
ENSMUSG00000042535|Gtpbp1
