ENSMUSG00000078317|F8a
ENSMUSG00000028863|Meaf6
ENSMUSG00000025235|Bbs4
ENSMUSG00000042750|Bex2
ENSMUSG00000031667|Aktip
ENSMUSG00000027364|Usp50
ENSMUSG00000051285|Pcmtd1
ENSMUSG00000021906|Oxnad1
ENSMUSG00000033186|Mzt1
ENSMUSG00000003062|Stard3nl
