ENSMUSG00000033022|Cdo1
ENSMUSG00000034488|Edil3
ENSMUSG00000031285|Dcx
ENSMUSG00000028926|Cdk14
ENSMUSG00000038797|Zscan2
ENSMUSG00000031169|Porcn
ENSMUSG00000019906|Lin7a
ENSMUSG00000009207|Lnpk
ENSMUSG00000030683|Sez6l2
ENSMUSG00000027168|Pax6
