ENSMUSG00000025949|Pikfyve
ENSMUSG00000032244|Fem1b
ENSMUSG00000021374|Nup153
ENSMUSG00000028053|Ash1l
ENSMUSG00000045095|Magi1
ENSMUSG00000021819|Zswim8
ENSMUSG00000031979|Cog2
ENSMUSG00000039599|Fam149b
ENSMUSG00000037885|Stk35
ENSMUSG00000042211|Fbxo38
