ENSMUSG00000066687|Zbtb16
ENSMUSG00000035649|Zcchc7
ENSMUSG00000002393|Nr2f6
ENSMUSG00000003070|Efna2
ENSMUSG00000028884|Rpa2
ENSMUSG00000031299|Pdha1
ENSMUSG00000071497|Nutf2-ps1
ENSMUSG00000049916|2610318N02Rik
ENSMUSG00000039055|Eme1
ENSMUSG00000020156|Mum1
