ENSMUSG00000098120|Gm5914
ENSMUSG00000025742|Prps2
ENSMUSG00000061718|Ppp1r1b
ENSMUSG00000060675|Pla2g16
ENSMUSG00000045071|E130308A19Rik
ENSMUSG00000033400|Agl
ENSMUSG00000061808|Ttr
ENSMUSG00000020627|Klhl29
ENSMUSG00000039958|Etfbkmt
ENSMUSG00000042826|Fgf11
