ENSMUSG00000023156|Rpp14
ENSMUSG00000051579|Tceal8
ENSMUSG00000070699|Sars2
ENSMUSG00000016619|Nup50
ENSMUSG00000022313|Utp23
ENSMUSG00000026102|Inpp1
ENSMUSG00000030127|Cops7a
ENSMUSG00000053746|Ptrh1
ENSMUSG00000027509|Rae1
ENSMUSG00000031917|Nip7
