ENSMUSG00000032193|Ldlr
ENSMUSG00000048332|Lhfp
ENSMUSG00000018800|Abca5
ENSMUSG00000022454|Nell2
ENSMUSG00000032413|Rasa2
ENSMUSG00000116852|1700102H20Rik
ENSMUSG00000021792|Fam213a
ENSMUSG00000026473|Glul
ENSMUSG00000022885|St6gal1
ENSMUSG00000019874|Fabp7
