ENSMUSG00000049904|Tmem17
ENSMUSG00000000567|Sox9
ENSMUSG00000003534|Ddr1
ENSMUSG00000048416|Mlf1
ENSMUSG00000035246|Pcyt1b
ENSMUSG00000057176|Ccdc189
ENSMUSG00000039199|Zdhhc1
ENSMUSG00000033276|Stk36
ENSMUSG00000040729|Cep126
ENSMUSG00000013155|Enkd1
