ENSMUSG00000087651|1500009L16Rik
ENSMUSG00000009681|Bcr
ENSMUSG00000025809|Itgb1
ENSMUSG00000052837|Junb
ENSMUSG00000022498|Txndc11
ENSMUSG00000021250|Fos
ENSMUSG00000038366|Lasp1
ENSMUSG00000029502|Golga3
ENSMUSG00000073664|Nbeal1
ENSMUSG00000046417|Lrrc75a
