ENSMUSG00000031901|Dus2
ENSMUSG00000021770|Samd8
ENSMUSG00000050714|Zbtb26
ENSMUSG00000086782|E130102H24Rik
ENSMUSG00000049504|Proser1
ENSMUSG00000045896|Paip2b
ENSMUSG00000020610|Amz2
ENSMUSG00000025373|Rnf41
ENSMUSG00000062906|Hdac10
ENSMUSG00000059689|Zfp637
