ENSMUSG00000057236|Rbbp4
ENSMUSG00000049882|Vcpkmt
ENSMUSG00000023932|Cdc5l
ENSMUSG00000028837|Psmb2
ENSMUSG00000025364|Pa2g4
ENSMUSG00000027714|Exosc9
ENSMUSG00000049300|Prmt6
ENSMUSG00000024991|Eif3a
ENSMUSG00000031068|Glrx3
ENSMUSG00000031568|Rwdd4a
