ENSMUSG00000037211|Spry1
ENSMUSG00000039982|Dtx4
ENSMUSG00000052981|Ube2ql1
ENSMUSG00000061232|H2-K1
ENSMUSG00000021556|Golm1
ENSMUSG00000024232|Bambi
ENSMUSG00000050382|Kif7
ENSMUSG00000061731|Ext1
ENSMUSG00000031673|Cdh11
ENSMUSG00000020592|Sdc1
