ENSMUSG00000005813|Metap1
ENSMUSG00000029642|Polr1d
ENSMUSG00000031924|Cyb5b
ENSMUSG00000032977|Fam207a
ENSMUSG00000032898|Fbxo21
ENSMUSG00000024446|Rpp21
ENSMUSG00000055723|Rras2
ENSMUSG00000026755|Arpc5l
ENSMUSG00000034518|Hmgxb4
ENSMUSG00000017764|Zswim1
