ENSMUSG00000035840|Lysmd3
ENSMUSG00000049929|Lpar4
ENSMUSG00000042626|Shc1
ENSMUSG00000049502|Dtx3l
ENSMUSG00000024079|Eif2ak2
ENSMUSG00000006931|P3h4
ENSMUSG00000032741|Tpcn1
ENSMUSG00000022210|Dhrs4
ENSMUSG00000020251|Glt8d2
ENSMUSG00000025077|Dclre1a
