ENSMUSG00000047712|Ust
ENSMUSG00000041351|Rap1gap
ENSMUSG00000049090|Zadh2
ENSMUSG00000004633|Chn2
ENSMUSG00000001313|Rnd2
ENSMUSG00000040234|Tm7sf3
ENSMUSG00000029108|Pcdh7
ENSMUSG00000005338|Cadm3
ENSMUSG00000097090|Gm26724
ENSMUSG00000028385|Snx30
