ENSMUSG00000026728|Vim
ENSMUSG00000096753|Fam181a
ENSMUSG00000035762|Tmem161b
ENSMUSG00000056204|Pgpep1
ENSMUSG00000022687|Boc
ENSMUSG00000052504|Epha3
ENSMUSG00000020108|Ddit4
ENSMUSG00000108616|Gm35040
ENSMUSG00000046999|1110032F04Rik
ENSMUSG00000029408|Abcb9
