ENSMUSG00000028882|Ppp1r8
ENSMUSG00000008690|Ncaph2
ENSMUSG00000024949|Sf1
ENSMUSG00000027080|Med19
ENSMUSG00000021929|Kpna3
ENSMUSG00000033983|Coil
ENSMUSG00000015937|H2afy
ENSMUSG00000025374|Nabp2
ENSMUSG00000028180|Zranb2
ENSMUSG00000024054|Smchd1
