ENSMUSG00000022131|Gpr180
ENSMUSG00000032396|Dis3l
ENSMUSG00000001270|Ckb
ENSMUSG00000048439|Nupl2
ENSMUSG00000057375|Yipf1
ENSMUSG00000050538|B230217C12Rik
ENSMUSG00000042097|Zfp239
ENSMUSG00000020728|Cep112
ENSMUSG00000031949|Adat1
ENSMUSG00000066705|Fxyd6
