ENSMUSG00000063884|Ptcd3
ENSMUSG00000006134|Crkl
ENSMUSG00000021051|Ppp2r5e
ENSMUSG00000021902|Phf7
ENSMUSG00000002550|Uck1
ENSMUSG00000001034|Mapk7
ENSMUSG00000058440|Nrf1
ENSMUSG00000029128|Rab28
ENSMUSG00000040250|Ints13
ENSMUSG00000034748|Sirt6
