ENSMUSG00000027447|Cst3
ENSMUSG00000042029|Ncapg2
ENSMUSG00000027641|Rbl1
ENSMUSG00000023919|Cenpq
ENSMUSG00000005949|Ctns
ENSMUSG00000024654|Asrgl1
ENSMUSG00000071302|2610044O15Rik8
ENSMUSG00000040760|Appl1
ENSMUSG00000021785|Ngly1
ENSMUSG00000073792|Alg6
