ENSMUSG00000043557|Mdga1
ENSMUSG00000049907|Rasl11b
ENSMUSG00000029005|Draxin
ENSMUSG00000024548|Setbp1
ENSMUSG00000066798|Zbtb6
ENSMUSG00000007817|Zmiz1
ENSMUSG00000098318|Lockd
ENSMUSG00000009293|Ube2g2
ENSMUSG00000057234|Mettl15
ENSMUSG00000057093|Zfp607b
